year,respondents,median_income_usd,average_income_usd
2005,6629,1683.6363636363637,2224.756277513405
2006,6182,1949.7272727272727,2556.123191604904
2007,5962,2101.818181818182,2784.7987237351713
2008,5900,2244.5454545454545,2928.764129429892
2009,5778,2346.3636363636365,3098.493307388842
2010,5523,2450.909090909091,3207.692983257008
2011,7321,2271.818181818182,3083.3075089096124
2012,7132,2390.909090909091,3256.96517615867
2013,6899,2366.3636363636365,3334.446579873236
2014,6786,2401.818181818182,3414.964888540578
2015,6621,2531.818181818182,3579.776441350524
2016,6501,2649.090909090909,3708.3077988001846
2017,6413,2710.909090909091,3843.7949123229805
2018,6288,2735.909090909091,3914.6697461253757
